"filename", "language", "JSON with Comments", "Markdown", "TypeScript", "JSON", "CSS", "vue", "HTML", "XML", "comment", "blank", "total"
"e:\Python\PythonFile\guidelight\GuideLight-for-Vision-Impaired\static\guidelight_front\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"e:\Python\PythonFile\guidelight\GuideLight-for-Vision-Impaired\static\guidelight_front\README_INTEGRATED_MONITORING.md", "Markdown", 0, 180, 0, 0, 0, 0, 0, 0, 0, 43, 223
"e:\Python\PythonFile\guidelight\GuideLight-for-Vision-Impaired\static\guidelight_front\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 0, 1, 1, 21
"e:\Python\PythonFile\guidelight\GuideLight-for-Vision-Impaired\static\guidelight_front\package-lock.json", "JSON", 0, 0, 0, 1394, 0, 0, 0, 0, 0, 1, 1395
"e:\Python\PythonFile\guidelight\GuideLight-for-Vision-Impaired\static\guidelight_front\package.json", "JSON", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"e:\Python\PythonFile\guidelight\GuideLight-for-Vision-Impaired\static\guidelight_front\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Python\PythonFile\guidelight\GuideLight-for-Vision-Impaired\static\guidelight_front\src\App.vue", "vue", 0, 0, 0, 0, 0, 160, 0, 0, 4, 21, 185
"e:\Python\PythonFile\guidelight\GuideLight-for-Vision-Impaired\static\guidelight_front\src\api\index.ts", "TypeScript", 0, 0, 196, 0, 0, 0, 0, 0, 23, 51, 270
"e:\Python\PythonFile\guidelight\GuideLight-for-Vision-Impaired\static\guidelight_front\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Python\PythonFile\guidelight\GuideLight-for-Vision-Impaired\static\guidelight_front\src\components\BEVCanvas.vue", "vue", 0, 0, 0, 0, 0, 282, 0, 0, 0, 65, 347
"e:\Python\PythonFile\guidelight\GuideLight-for-Vision-Impaired\static\guidelight_front\src\components\HelloWorld.vue", "vue", 0, 0, 0, 0, 0, 35, 0, 0, 0, 7, 42
"e:\Python\PythonFile\guidelight\GuideLight-for-Vision-Impaired\static\guidelight_front\src\config\index.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 5, 3, 22
"e:\Python\PythonFile\guidelight\GuideLight-for-Vision-Impaired\static\guidelight_front\src\main.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 4, 5, 26
