epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1885,1.12705,5.08872,0.97932,0,0,0,0,1.10674,4.90978,0.88936,5.29108e-05,5.29108e-05,5.29108e-05
2,29.7037,1.08182,4.57881,0.91041,0.0188,0.25688,0.02167,0.01662,1.0819,3.99842,0.91607,0.000105522,0.000105522,0.000105522
3,42.3273,1.08608,4.06664,0.91933,0.01783,0.322,0.02719,0.02054,1.02737,3.54591,0.92265,0.000157071,0.000157071,0.000157071
4,54.6865,1.06786,3.65955,0.92362,0.30727,0.11398,0.04125,0.03233,1.0082,3.14628,0.91433,0.000156218,0.000156218,0.000156218
5,67.0011,1.0482,3.31014,0.92228,0.26906,0.12767,0.04262,0.03123,1.02498,2.89803,0.92234,0.000154624,0.000154624,0.000154624
6,79.6704,1.02425,3.18349,0.92236,0.36916,0.1403,0.0511,0.04071,0.99041,2.74709,0.91329,0.000153031,0.000153031,0.000153031
7,92.4582,1.04589,3.00105,0.92104,0.34897,0.1453,0.05287,0.04099,0.98928,2.67339,0.91355,0.000151437,0.000151437,0.000151437
8,105.505,0.9864,2.90455,0.91279,0.44804,0.11743,0.05329,0.041,1.0025,2.60407,0.92162,0.000149843,0.000149843,0.000149843
9,118.053,0.99708,2.82231,0.91405,0.33315,0.136,0.05601,0.04305,0.97422,2.55764,0.91113,0.000148249,0.000148249,0.000148249
10,130.571,0.97885,2.76993,0.90607,0.51059,0.11416,0.06715,0.05157,0.97115,2.49029,0.90505,0.000146655,0.000146655,0.000146655
11,143.795,0.98682,2.68448,0.90751,0.59658,0.11361,0.07076,0.05517,0.94274,2.42844,0.90051,0.000145061,0.000145061,0.000145061
12,156.409,0.97718,2.63415,0.90381,0.59537,0.12477,0.07492,0.05729,0.99417,2.4132,0.91015,0.000143467,0.000143467,0.000143467
13,169.348,0.97073,2.58544,0.9037,0.60319,0.13387,0.08624,0.06681,0.96346,2.33772,0.90747,0.000141873,0.000141873,0.000141873
14,182.305,0.94502,2.52136,0.90796,0.51777,0.14333,0.08497,0.06499,0.97764,2.3691,0.91294,0.000140279,0.000140279,0.000140279
15,195.35,0.9469,2.50141,0.89859,0.61634,0.14828,0.09445,0.07196,1.00883,2.31094,0.92331,0.000138685,0.000138685,0.000138685
16,208.071,0.94536,2.47622,0.90234,0.53815,0.13933,0.10326,0.07827,1.01708,2.28717,0.92615,0.000137092,0.000137092,0.000137092
17,220.916,0.94277,2.43659,0.90159,0.51026,0.16198,0.10581,0.08258,0.97031,2.27091,0.91933,0.000135498,0.000135498,0.000135498
18,234.049,0.93613,2.38777,0.89509,0.55389,0.14768,0.1083,0.08233,0.97439,2.25988,0.91876,0.000133904,0.000133904,0.000133904
19,249.149,0.93328,2.36639,0.89864,0.4719,0.18108,0.11541,0.08752,1.01327,2.22698,0.92692,0.00013231,0.00013231,0.00013231
20,264.257,0.91135,2.28491,0.89821,0.47237,0.1905,0.122,0.09453,0.95711,2.1883,0.92035,0.000130716,0.000130716,0.000130716
21,278.805,0.91787,2.2867,0.89834,0.47813,0.17973,0.12651,0.0968,0.96921,2.15576,0.92526,0.000129122,0.000129122,0.000129122
22,294.11,0.91529,2.287,0.90002,0.41627,0.17612,0.12893,0.09822,0.95911,2.12523,0.91697,0.000127528,0.000127528,0.000127528
23,309.187,0.9056,2.24016,0.8942,0.45836,0.18235,0.13737,0.10346,0.9651,2.11595,0.92515,0.000125934,0.000125934,0.000125934
24,322.813,0.93457,2.21823,0.91137,0.57096,0.16878,0.13934,0.10401,0.99091,2.10698,0.92801,0.00012434,0.00012434,0.00012434
25,335.922,0.90127,2.17982,0.89168,0.57278,0.16825,0.14762,0.11132,0.98473,2.09266,0.92527,0.000122746,0.000122746,0.000122746
26,348.939,0.90209,2.15342,0.89397,0.46047,0.19132,0.14275,0.10784,0.99353,2.08365,0.92672,0.000121153,0.000121153,0.000121153
27,362.593,0.88143,2.10991,0.8937,0.48273,0.17734,0.14209,0.10682,0.97761,2.06204,0.92631,0.000119559,0.000119559,0.000119559
